price_total,price_unit,area,ratio,age,Floor,Height,Building_layout
432,21.3,20.32,66.5,26,6,12,2
450,24.7,18.23,57,2,3,29,2
530,24.2,21.92,54.99,2,9,29,2
"1,000",23.9,41.78,49.55,2,27,29,2
800,18,44.54,46.87,2,23,29,2
570,23.8,23.99,57,3,23,29,2
500,26.3,19.04,54.68,2,23,29,2
542,27.9,19.45,53.52,2,22,29,2
698,21,33.18,54.68,2,25,29,2
520,28.5,18.23,57,3,25,29,2
438,22.5,19.45,53.52,2,2,29,2
800,18,44.5,46.87,2,5,29,2
450,23.1,19.45,53.52,2,8,29,2
510,26.2,19.45,53.52,2,6,29,2
515,28.3,18.23,57,2,11,29,2
508,26.7,19.04,54.68,3,11,29,2
490,25.2,19.45,53.52,3,17,29,2
615,22.1,27.78,43.57,2,13,29,2
520,28.5,18.23,57,3,13,29,2
500,25.7,19.45,53.52,3,13,29,2
540,28.4,19.04,54.68,2,12,29,2
465,23.9,19.45,53.52,3,14,29,2
440,23.1,19.04,54.68,2,10,29,2
440,24.1,18.23,57,2,10,29,2
450,21.7,20.75,84.35,40,6,12,3
"1,825",22.6,80.63,60.12,10,3,15,4
"1,110",24.7,44.86,62.48,10,6,15,3
"2,160",22.4,96.95,55.54,6,3,33,3
"2,130",25.3,82.31,57.91,6,23,33,3
800,21.7,36.87,60.74,17,5,14,3
485,22.1,21.92,59,17,2,14,2
348,19,18.33,62.61,21,2,14,2
425,17.7,20.77,62.61,21,6,14,2
430,18.9,22.79,62.22,21,6,14,2
391,16.6,21.18,60.81,21,14,14,2
380,15.5,21.85,62.22,21,10,14,2
"1,758",23.2,75.77,54.23,9,4,29,3
"1,875",24.2,77.51,53.52,8,19,29,3
543,21.8,24.85,62.2,17,9,14,2
533,22.2,23.99,62.41,17,9,14,2
570,22.9,24.85,62.2,18,8,14,2
535,21.8,24.49,62.66,18,7,14,2
520,21.6,24.11,64.28,18,11,14,2
500,20.7,24.18,60.8,17,13,14,2
880,16.8,52.39,54.95,31,7,12,2
236.8,16.3,14.57,80.07,39,10,11,2
"1,466",21.3,66.91,57.07,2,3,29,3
"1,883",28.2,66.37,57.09,2,27,29,3
"1,900",27.8,69.33,57.07,2,29,29,3
"1,880",27.6,69.33,57.07,2,28,29,3
"1,850",27.8,66.37,57.08,2,26,29,3
"1,830",27.5,66.37,57.08,2,24,29,3
"1,460",21.8,66.15,57.1,2,5,29,3
"1,718",25.8,66.37,57.08,2,19,29,3
"1,696",25.3,66.19,57.06,3,19,29,3
"1,429",20.2,67.07,57.11,2,4,29,3
"1,413",21.7,63.64,57.1,2,4,29,3
800,16.7,47.99,69.08,33,5,11,4
586,15.7,37.39,68.02,27,12,22,3
530,16.3,32.43,76,26,17,22,3
521,16.1,32.43,78.09,26,17,22,3
"1,560",11.6,134.19,54.03,27,21,22,5
600,16,37.39,68.02,26,16,22,3
546,16.8,32.43,78.09,26,7,22,2
